x,A,B,C,D,E,F,G,H,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,0.00,0.00,5.00,4.00,6.00,4.00,3.00,4.00,6.00,0.56,-0.86,5.59,4.97,5.77,3.60,2.68,4.47,6.32,-0.12,-1.80,4.84,4.23,4.83,4.08,1.85,5.30,6.88,-0.94,-1.11,4.02,3.74,4.97,3.39,2.69,5.38,6.66,-1.34,-2.02,4.14,3.43,5.43,2.54,2.74,5.33,7.56,-1.16,-2.92,4.32,3.69,6.20,2.50,2.43,4.76,8.49,-1.81,-3.90,4.14,4.54,7.00,2.07,2.90,4.00,8.49,-2.73,-3.57,4.30,3.70,6.18,2.20,3.48,3.73,9.24
2.00,1.00,1.00,6.00,3.00,5.00,5.00,4.00,5.00,7.00,0.87,1.00,5.81,2.14,4.31,5.31,4.38,4.06,7.27,0.36,1.42,5.66,2.38,5.22,5.10,4.47,4.45,6.92,1.19,2.28,5.76,2.82,4.35,5.22,4.08,3.47,6.47,0.69,1.38,5.34,3.57,4.21,5.77,4.09,3.44,7.25,0.13,0.47,4.35,2.84,4.15,4.84,3.57,4.08,7.27,0.21,0.50,3.76,3.00,3.72,5.62,4.37,3.94,6.34,0.75,1.42,3.47,2.52,3.31,5.81,4.26,4.73,6.01
3.00,2.00,2.00,7.00,2.00,1.00,6.00,3.00,4.00,6.00,1.95,2.03,7.25,2.31,0.61,5.44,3.23,3.93,5.06,2.49,1.65,7.11,2.50,0.62,4.64,2.96,4.02,4.34,2.60,2.25,7.23,2.61,-0.13,4.16,2.39,3.65,5.01,2.78,1.81,7.21,3.56,0.44,4.34,1.97,2.78,4.49,2.86,0.81,6.40,2.87,0.80,4.16,1.71,3.48,5.07,2.80,1.03,5.63,3.86,0.92,3.42,0.90,3.92,5.27,2.11,0.38,6.49,4.55,0.62,3.09,1.82,3.17,4.44
4.00,3.00,3.00,6.00,3.00,1.00,5.00,2.00,5.00,7.00,2.47,3.02,5.86,3.55,0.19,4.21,1.44,4.29,6.21,3.05,2.70,5.97,4.20,0.98,4.77,0.49,3.90,6.57,3.08,2.47,5.97,4.38,0.55,4.54,0.91,3.72,6.98,3.98,1.87,6.68,4.52,1.25,4.28,0.86,3.56,6.56,3.79,1.82,7.47,4.64,1.46,3.40,0.92,4.34,7.13,4.68,1.28,6.76,3.71,1.88,3.52,0.59,4.89,6.48,4.24,0.66,5.79,3.04,1.73,3.39,0.41,5.07,7.12
5.00,3.50,4.00,5.00,4.00,2.00,4.00,3.00,4.00,6.00,4.37,4.16,4.05,4.66,1.50,4.13,3.21,4.04,5.19,5.07,3.26,3.35,4.39,1.40,5.06,2.51,3.32,5.98,6.03,4.04,3.83,4.32,1.29,4.78,1.90,4.02,6.79,6.80,4.97,3.45,4.50,1.57,4.18,0.99,4.44,7.29,6.38,5.27,4.19,4.83,2.27,4.75,1.86,3.44,8.20,6.68,4.52,4.36,4.75,2.89,5.29,2.02,3.24,7.50,7.41,4.09,4.86,3.77,3.87,5.04,1.93,4.06,7.26
6.00,3.60,4.00,6.00,3.00,1.00,5.00,4.00,5.00,7.00,2.95,4.60,6.05,2.13,1.98,5.75,4.46,4.57,7.14,2.97,4.23,6.02,1.37,1.76,5.78,4.04,4.14,7.23,2.34,4.40,6.61,0.47,2.26,6.77,4.62,3.70,7.93,2.83,4.47,5.90,0.32,1.35,7.71,4.27,3.88,8.12,2.99,4.65,6.27,0.97,0.45,7.61,3.42,4.17,8.00,3.51,5.46,6.22,0.97,-0.10,8.05,4.40,3.37,8.71,2.59,6.05,6.33,0.58,-0.83,8.07,5.08,3.01,9.07
7.00,3.70,3.00,7.00,2.00,2.00,6.00,3.00,4.00,6.00,3.42,2.57,6.62,1.70,1.63,6.29,3.93,4.01,6.76,2.93,2.93,6.30,1.54,1.35,6.57,3.58,4.90,6.29,2.88,3.15,6.73,1.14,1.17,7.01,3.02,4.78,7.17,3.67,3.21,6.73,0.83,1.98,8.00,2.50,4.80,7.52,3.15,3.74,5.95,0.70,1.53,7.68,3.23,4.86,8.52,3.73,4.21,6.73,0.18,2.36,8.67,3.29,5.30,8.85,4.58,3.78,5.93,0.33,2.14,8.11,3.13,5.57,7.96
8.00,4.00,2.00,6.00,3.00,4.00,5.00,2.00,5.00,7.00,4.71,1.96,6.23,2.46,4.58,4.70,2.61,4.41,6.64,5.70,1.26,5.97,2.34,5.05,5.11,3.59,3.78,6.36,5.35,1.24,6.33,2.68,4.96,6.06,3.03,4.42,5.40,6.17,2.12,6.16,1.73,4.43,6.98,3.21,3.79,6.12,5.74,2.44,6.51,1.66,5.12,7.79,3.10,4.16,6.39,6.44,2.34,6.19,2.34,5.86,7.92,3.48,3.45,6.96,6.29,2.88,6.47,2.23,5.59,7.30,4.11,4.37,6.61
9.00,5.00,1.00,5.00,4.00,3.00,4.00,3.00,4.00,6.00,5.80,1.09,5.75,4.28,3.48,4.52,3.22,4.64,6.51,6.00,1.42,6.57,3.96,3.96,3.77,2.49,5.43,6.65,6.87,2.41,5.75,3.78,4.30,3.59,3.19,5.48,5.69,6.44,1.86,5.04,4.56,4.92,4.36,4.05,6.31,5.41,6.11,1.17,5.54,5.48,4.63,5.03,4.59,5.96,5.68,5.90,0.50,4.80,5.38,5.33,5.00,5.41,5.24,4.87,5.55,1.45,5.57,5.91,5.60,5.48,4.85,5.93,3.98
10.00,6.00,0.00,6.00,3.00,2.00,5.00,4.00,5.00,7.00,5.67,0.40,6.59,3.54,2.32,5.10,3.58,4.40,7.86,5.68,0.21,5.60,3.31,2.82,5.03,4.10,3.75,7.54,5.33,0.29,5.51,3.25,2.49,4.51,3.59,2.99,7.36,5.93,0.35,5.86,3.94,2.49,5.03,2.91,3.16,7.41,6.63,1.15,5.00,3.38,1.69,5.72,3.90,2.83,7.18,5.71,1.30,5.03,3.14,2.67,6.24,4.82,3.60,7.55,5.83,1.96,4.40,4.08,2.38,6.34,4.00,3.92,8.27
