x,A,B,C,D,E,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,0.00,0.00,5.00,4.00,6.00,4.00,3.00,0.28,-0.46,5.92,3.84,6.89,4.14,2.07,-0.63,-1.35,6.68,4.81,6.60,3.76,2.25,-1.19,-2.01,7.13,5.40,6.73,4.14,2.13,-1.72,-2.51,7.94,4.99,6.86,4.81,1.52,-2.60,-2.65,8.10,5.65,6.19,5.35,2.29,-2.05,-3.56,7.53,6.32,6.76,6.35,2.47,-1.12,-4.05,7.85,5.57,6.73,6.61
2.00,1.00,1.00,6.00,3.00,5.00,5.00,4.00,1.68,1.89,5.52,3.46,4.56,5.93,3.97,1.80,1.44,6.19,3.57,4.83,4.97,4.63,1.45,1.48,5.78,4.47,5.30,4.71,4.65,0.59,1.69,6.63,4.25,6.27,3.84,3.72,0.84,0.93,6.18,4.28,6.01,4.22,3.64,0.91,0.22,7.10,4.72,5.35,4.24,3.35,0.55,0.14,7.42,4.42,4.59,3.92
3.00,2.00,2.00,7.00,2.00,1.00,6.00,3.00,1.64,2.18,6.54,2.34,0.17,6.63,3.25,2.45,2.77,6.97,2.35,0.46,6.88,3.56,2.35,2.64,6.49,2.31,0.56,7.42,4.10,2.83,3.26,6.40,2.03,-0.11,7.36,3.52,2.48,4.05,7.23,2.74,-0.01,7.03,3.86,3.45,3.39,6.63,2.90,0.75,6.82,4.16,3.19,2.53,7.39,2.28,1.14,6.75
4.00,3.00,3.00,6.00,3.00,1.00,5.00,2.00,3.28,3.21,5.04,3.77,0.27,4.21,1.15,3.22,3.67,5.78,3.66,-0.56,5.04,0.63,3.61,4.24,5.91,3.74,-0.33,5.78,-0.02,3.69,3.35,6.08,3.67,-0.38,6.41,0.63,2.93,3.18,6.67,3.05,0.50,6.38,0.11,3.28,2.38,6.14,2.79,1.40,6.41,0.15,3.10,2.76,5.71,2.79,1.84,6.64
5.00,3.50,4.00,5.00,4.00,2.00,4.00,3.00,3.17,3.57,5.35,4.50,2.77,4.69,3.18,3.59,3.62,5.43,5.11,2.00,5.61,2.79,3.11,3.03,5.06,5.50,1.26,4.93,1.99,2.65,3.78,4.97,5.82,1.20,5.56,1.05,1.83,4.69,4.94,6.16,1.71,5.38,0.48,1.62,5.57,5.74,6.01,2.14,4.91,-0.07,1.37,5.59,6.10,6.63,2.04,4.86
6.00,3.60,4.00,6.00,3.00,1.00,5.00,4.00,2.86,4.34,6.71,3.64,0.77,4.77,3.93,3.80,4.49,5.71,4.58,1.03,3.82,3.28,3.09,4.98,6.70,3.58,0.63,3.70,4.17,2.85,4.87,5.74,3.46,-0.15,4.44,4.74,3.05,5.13,6.74,3.87,-0.66,3.51,4.62,3.61,4.40,6.07,4.23,-1.04,2.52,3.79,3.38,5.20,6.97,3.45,-0.33,2.49
7.00,3.70,3.00,7.00,2.00,2.00,6.00,3.00,4.15,3.87,7.48,2.02,1.37,6.40,3.75,4.35,3.52,7.78,1.36,0.69,5.97,2.86,3.73,3.25,7.29,1.25,0.60,6.47,3.69,3.89,2.25,8.02,0.52,1.13,6.37,3.91,3.60,2.41,7.44,-0.43,0.33,6.20,3.42,3.92,3.19,6.52,0.56,-0.11,6.66,2.48,4.61,2.28,5.87,0.35,-0.07,7.48
8.00,4.00,2.00,6.00,3.00,4.00,5.00,2.00,4.33,2.72,5.82,3.04,4.33,4.18,1.99,5.08,2.50,6.14,3.18,5.31,5.12,1.51,5.73,2.65,6.30,2.79,4.78,5.90,1.06,5.69,1.74,6.85,2.08,5.10,5.87,1.79,6.62,1.80,7.51,2.64,5.42,4.99,2.64,6.65,2.56,7.22,1.78,5.86,5.05,2.45,7.20,2.06,6.47,1.81,5.17,4.06
9.00,5.00,1.00,5.00,4.00,3.00,4.00,3.00,5.63,1.68,5.99,4.00,2.66,4.58,2.14,5.11,1.07,6.08,3.04,3.56,4.44,2.49,4.32,1.81,5.93,2.09,3.55,3.55,2.78,4.68,2.28,5.88,1.95,2.76,3.36,1.94,4.46,1.85,6.04,1.73,2.75,3.38,1.54,4.79,2.62,6.86,1.53,2.60,2.99,1.42,5.27,2.30,6.83,2.25,1.78,3.08
10.00,6.00,0.00,6.00,3.00,2.00,5.00,4.00,6.72,0.82,5.12,2.90,2.16,4.07,3.56,6.36,1.19,4.68,2.07,1.87,4.16,2.78,6.45,0.94,4.36,2.87,1.43,3.37,3.61,7.16,1.83,3.37,1.94,0.76,2.78,4.15,8.07,2.18,4.31,1.71,1.31,3.22,3.62,8.27,2.74,4.32,2.39,1.69,2.74,4.46,9.15,3.06,4.32,1.96,1.15,2.69
